,index,name,cost_text,Bed,Bath,Park,property_type,desc_head,LocID
95,https://www.domain.com.au/5-victoria-avenue-canterbury-vic-3126-15910266,5 Victoria Avenue Canterbury VIC 3126,1650.0,4,2,2,House,majest famili charm golden mile,207011155
96,https://www.domain.com.au/8-tregunter-st-ascot-vale-vic-3032-16070702,8 Tregunter St Ascot Vale VIC 3032,1650.0,1,3,6,House,suprem riversid lifestyl live,206031113
97,https://www.domain.com.au/2-10-asling-street-brighton-vic-3186-16043580,2/10 Asling Street Brighton VIC 3186,1650.0,5,3,2,Townhouse,luxuri locat lifestyl,208011169
98,https://www.domain.com.au/464-william-street-west-melbourne-vic-3003-16077606,464 William Street West Melbourne VIC 3003,1650.0,2,2,0,House,luxuri space,206041510
99,https://www.domain.com.au/5701-260-city-rd-southbank-vic-3006-15965033,5701/260 City Rd Southbank VIC 3006,1615.0,3,2,0,Apartment / Unit / Flat,luxuri feel like home heart,206041508
100,https://www.domain.com.au/90-edgevale-road-kew-vic-3101-16078741,90 Edgevale Road Kew VIC 3101,1600.0,4,2,3,House,luxuri famili live,207011521
101,https://www.domain.com.au/90-edgevale-road-kew-vic-3101-16078740,90 Edgevale Road Kew VIC 3101,1600.0,3,2,4,House,luxuri famili live,207011521
102,https://www.domain.com.au/28-russell-street-camberwell-vic-3124-16003445,28 Russell Street Camberwell VIC 3124,1600.0,5,3,2,House,contact privat inspect,207011149
103,https://www.domain.com.au/301-130-bay-street-port-melbourne-vic-3207-16014905,301/130 Bay Street Port Melbourne VIC 3207,1600.0,3,2,1,Apartment / Unit / Flat,sensat rooftop terrac,206051130
104,https://www.domain.com.au/9-kendari-ave-balwyn-north-vic-3104-16067409,9 Kendari Ave Balwyn North VIC 3104,1595.0,4,2,2,House,modern parkland home,207011148
105,https://www.domain.com.au/9-kendari-ave-balwyn-north-vic-3104-16028178,9 Kendari Ave Balwyn North VIC 3104,1595.0,6,3,2,House,modern parkland home,207011148
106,https://www.domain.com.au/4-829-high-street-kew-east-vic-3102-16049165,4/829 High Street Kew East VIC 3102,1580.0,2,1,1,Apartment / Unit / Flat,brand new luxuri appoint penthous live terrac rooftop,207011154
107,https://www.domain.com.au/14-evelyn-street-bentleigh-vic-3204-15988200,14 Evelyn Street Bentleigh VIC 3204,1550.0,4,2,4,Townhouse,sensat famili live pool,208021174
108,https://www.domain.com.au/53-hambleton-street-albert-park-vic-3206-16066946,53 Hambleton Street Albert Park VIC 3206,1550.0,4,3,3,House,corner delight bedroom home two street frontag,206051128
109,https://www.domain.com.au/24-gardiner-parade-glen-iris-vic-3146-16058635,24 Gardiner Parade Glen Iris VIC 3146,1550.0,2,1,3,House,locat perfect gener famili,207011150
110,https://www.domain.com.au/103a-pleasant-road-hawthorn-east-vic-3123-16077226,103A Pleasant Road Hawthorn East VIC 3123,1550.0,4,3,3,Townhouse,breathtak new townhous absolut sensat,207011152
111,https://www.domain.com.au/5-alfred-st-balaclava-vic-3183-15884901,5 Alfred St Balaclava VIC 3183,1504.0,4,2,2,House,renov hous premier locat,206051134
112,https://www.domain.com.au/2803-63-haig-street-southbank-vic-3006-15631602,2803/63 Haig Street Southbank VIC 3006,1500.0,2,1,1,Apartment / Unit / Flat,bed bath fulli furnish park unlimit,206041508
113,https://www.domain.com.au/71b-orlando-street-hampton-vic-3188-16056805,71B Orlando Street Hampton VIC 3188,1500.0,4,2,2,Townhouse,beach lifestyl brand new luxuri resid,208011172
114,https://www.domain.com.au/9-muriel-street-glen-iris-vic-3146-16055689,9 Muriel Street Glen Iris VIC 3146,1500.0,4,3,2,House,evoc eleg except grand ladi,207011150
115,https://www.domain.com.au/3-6-gilmour-rd-camberwell-vic-3124-16066736,3/6 Gilmour Rd Camberwell VIC 3124,1500.0,3,2,4,Townhouse,brand new modern sophist,207011149
116,https://www.domain.com.au/685-hampton-street-brighton-vic-3186-16030685,685 Hampton Street Brighton VIC 3186,1500.0,5,3,2,House,leas,208011169
117,https://www.domain.com.au/51a-o-connell-street-north-melbourne-vic-3051-16069317,51A O'Connell Street North Melbourne VIC 3051,1500.0,1,1,0,Apartment / Unit / Flat,award win warehous apart,206041506
118,https://www.domain.com.au/283a-burnley-street-richmond-vic-3121-16064303,283A Burnley Street Richmond VIC 3121,1500.0,1,1,1,Townhouse,spectacular storey townhous rooftop terrac citi view lift turn tabl park,206071517
119,https://www.domain.com.au/4-18-22-islington-street-collingwood-vic-3066-14109551,4/18-22 Islington Street Collingwood VIC 3066,1500.0,3,3,2,Townhouse,level townhous outstand view,206071141
120,https://www.domain.com.au/2702-89-gladstone-street-south-melbourne-vic-3205-15631589,2702/89 Gladstone Street South Melbourne VIC 3205,1500.0,2,2,1,Apartment / Unit / Flat,inclus execut bay view resid free park,206051511
121,https://www.domain.com.au/4-39-lawson-street-hawthorn-east-vic-3123-14653886,4/39 Lawson Street Hawthorn East VIC 3123,1500.0,4,3,2,Townhouse,premium live without comparison,207011152
122,https://www.domain.com.au/501-8-10-new-street-richmond-vic-3121-16035219,501/8-10 New Street Richmond VIC 3121,1500.0,1,1,1,Apartment / Unit / Flat,luxuri penthous apart spectacular view,206071518
123,https://www.domain.com.au/241-538-little-lonsdale-street-melbourne-vic-3000-16073278,241/538 Little Lonsdale Street Melbourne VIC 3000,1500.0,3,2,0,Apartment / Unit / Flat,luxuri doubl stori penthous,206041505
124,https://www.domain.com.au/east-melbourne-vic-3002-15589957,East Melbourne VIC 3002,1500.0,1,1,1,Apartment / Unit / Flat,light fill larg bedroom locat,206041119
125,https://www.domain.com.au/52-victoria-crescent-mont-albert-vic-3127-16018854,52 Victoria Crescent Mont Albert VIC 3127,1500.0,2,1,1,House,style retreat,207031167
126,https://www.domain.com.au/22-davis-avenue-south-yarra-vic-3141-16072495,22 Davis Avenue South Yarra VIC 3141,1500.0,4,2,0,House,south finest live,206061516
127,https://www.domain.com.au/unit-1-9-stanley-street-brighton-vic-3186-15235651,Unit 1/9 Stanley Street Brighton VIC 3186,1500.0,5,3,2,Townhouse,blue chip brillianc,208011169
128,https://www.domain.com.au/4-15-19-anthony-street-melbourne-vic-3000-14905828,4/15-19 Anthony Street Melbourne VIC 3000,1500.0,4,2,1,Apartment / Unit / Flat,doubl storey penthous apart,206041504
129,https://www.domain.com.au/2403-14-16-the-esplanade-st-kilda-vic-3182-16011041,2403/14-16 The Esplanade St Kilda VIC 3182,1500.0,3,2,2,Apartment / Unit / Flat,pinnacl prestigi apart live saint,206051514
130,https://www.domain.com.au/11b-olive-st-hampton-vic-3188-16066090,11B Olive St Hampton VIC 3188,1500.0,3,2,2,House,inspect detail contact com,208011172
131,https://www.domain.com.au/3-6-gilmour-rd-camberwell-vic-3124-16066737,3/6 Gilmour Rd Camberwell VIC 3124,1500.0,4,3,2,Townhouse,brand new modern sophist,207011149
132,https://www.domain.com.au/86-hambleton-street-middle-park-vic-3206-16079300,86 Hambleton Street Middle Park VIC 3206,1500.0,3,2,1,House,lavish famili home desir local,206051128
133,https://www.domain.com.au/43-black-street-brighton-vic-3186-15831389,43 Black Street Brighton VIC 3186,1500.0,5,3,2,House,famili home fantast middl locat,208011169
134,https://www.domain.com.au/7-lower-drive-kew-vic-3101-16030054,7 Lower Drive Kew VIC 3101,1500.0,3,1,2,House,incred luxuri home,207011522
135,https://www.domain.com.au/72-fitzgibbon-street-parkville-vic-3052-15868255,72 Fitzgibbon Street Parkville VIC 3052,1495.0,3,1,1,House,execut live charm,206041124
136,https://www.domain.com.au/1-marine-avenue-st-kilda-vic-3182-15610447,1 Marine Avenue St Kilda VIC 3182,1495.0,4,2,0,House,except rare famili home water view,206051514
137,https://www.domain.com.au/36-cypress-way-kew-vic-3101-16029394,36 Cypress Way Kew VIC 3101,1495.0,4,2,0,House,contemporari home sought locat,207011522
