Year,SA2_codes,Postcode,Offence Count
2016,206051511,3205,1043
2016,206051514,3004,1885
2016,206051514,3182,2461
2016,206061135,3143,201
2016,206061136,3181,1458
2016,206061138,3142,326
2016,206061515,3141,885
2016,206071139,3067,655
2016,206071140,3054,198
2016,206071141,3066,1509
2016,206071142,3065,1458
2016,206071143,3068,397
2016,206071518,3121,2065
2016,207011147,3103,339
2016,207011148,3104,295
2016,207011149,3124,330
2016,207011152,3123,363
2016,207011154,3102,90
2016,207011155,3126,82
2016,207011519,3122,492
2016,207011522,3101,273
2016,207021156,3105,161
2016,207021157,3108,440
2016,207021159,3106,153
2016,207021160,3107,194
2016,207021425,3109,383
2016,207031161,3130,504
2016,207031163,3128,876
2016,207031164,3129,191
2016,207031165,3125,301
2016,207031166,3151,224
2016,207031167,3127,262
2016,208011168,3193,177
2016,208011169,3186,563
2016,208011170,3187,187
2016,208011171,3190,557
2016,208011172,3188,645
2016,208011173,3191,289
2016,208021176,3163,703
2016,208021177,3161,215
2016,208021178,3162,417
2016,208021179,3185,536
2016,208021182,3204,712
2016,208021426,3165,480
2016,208031185,3197,551
2016,208031186,3196,817
2016,208031188,3192,578
2016,208031190,3194,758
2016,208031191,3189,411
2016,208031191,3202,147
2016,208031193,3195,1136
2016,208041194,3144,364
2016,208041194,3146,313
2016,208041195,3145,721
2016,209011197,3088,593
2016,209011199,3081,920
2016,209011200,3079,293
2016,209011201,3084,1022
2016,209011202,3093,104
2016,209011202,3094,126
2016,209011204,3087,490
2016,209021205,3085,303
2016,209021428,3072,1492
2016,209021524,3073,1871
2016,209031209,3095,523
2016,209031210,3099,109
2016,209031214,3113,104
2016,209031215,3089,233
2016,209041216,3083,1016
2016,209041221,3082,789
2016,209041223,3074,676
2016,209041431,3076,1150
2016,209041436,3752,344
2016,209041530,3075,539
2016,210011226,3042,561
2016,210011228,3036,130
2016,210011533,3033,338
2016,210011533,3034,298
2016,210031236,3058,1297
2016,210031237,3060,434
2016,210031535,3046,1446
2016,210051242,3047,2049
2016,210051243,3061,576
2016,210051245,3049,201
2016,210051247,3048,1052
2016,210051250,3043,600
2016,210051544,3064,2604
2016,211011251,3153,1049
2016,211011254,3179,264
2016,211011254,3180,237
2016,211011256,3178,864
2016,211011260,3152,1024
2016,211011446,3155,1284
2016,211011447,3156,903
2016,211011449,3154,110
2016,211021261,3111,134
2016,211021261,3114,102
2016,211031266,3134,1468
2016,211031267,3135,578
2016,211031450,3136,1481
2016,211041269,3131,624
2016,211041270,3132,278
2016,211041272,3133,352
2016,211051277,3137,523
2016,211051278,3140,770
2016,211051280,3765,226
2016,211051281,3138,608
2016,211051283,3796,263
2016,211051284,3158,99
2016,212021293,3806,954
2016,212021295,3177,1310
2016,212021297,3803,483
2016,212021299,3804,262
2016,212021454,3802,1052
2016,212021456,3805,2065
2016,212031300,3977,3113
2016,212031306,3975,507
2016,212031562,3976,688
2016,212041309,3167,322
2016,212041310,3169,444
2016,212041317,3171,863
2016,212041318,3172,687
2016,212041460,3174,1429
2016,212041563,3175,4525
2016,212041565,3173,643
2016,212051319,3147,499
2016,212051319,3148,350
2016,212051322,3150,689
2016,212051324,3149,419
2016,212051325,3170,373
2016,212051326,3166,908
2016,212051567,3168,695
2016,213011328,3020,2855
2016,213011328,3022,237
2016,213011331,3037,1047
2016,213011332,3038,700
2016,213011334,3021,2229
2016,213011569,3023,1990
2016,213011570,3026,451
2016,213021341,3018,465
2016,213021343,3025,555
2016,213021344,3015,448
2016,213021346,3016,631
2016,213031347,3019,1073
2016,213031348,3011,1606
2016,213031349,3032,1126
2016,213031351,3012,1147
2016,213031352,3013,356
2016,213051361,3029,2041
2016,213051363,3027,129
2016,213051363,3028,784
2016,213051368,3030,2043
2016,214011370,3201,1266
2016,214011371,3199,3081
2016,214011372,3200,462
2016,214011374,3910,580
2016,214011375,3198,1039
2017,206011106,3057,186
2017,206011107,3052,843
2017,206011107,3055,305
2017,206011109,3044,584
2017,206011495,3056,1002
2017,206021110,3078,446
2017,206021112,3071,587
2017,206021500,3070,543
2017,206031115,3031,1225
2017,206031116,3039,569
2017,206031501,3041,430
2017,206031502,3040,631
2017,206041117,3053,607
2017,206041118,3008,1212
2017,206041119,3002,450
2017,206041504,3000,1554
2017,206041506,3051,912
2017,206041509,3006,935
2017,206041510,3003,531
2017,206051128,3206,420
2017,206051129,3184,270
2017,206051130,3207,663
2017,206051134,3183,655
2017,206051511,3205,1178
2017,206051514,3004,2112
2017,206051514,3182,2178
2017,206061135,3143,296
2017,206061136,3181,1544
2017,206061138,3142,421
2017,206061515,3141,885
2017,206071139,3067,434
2017,206071140,3054,297
2017,206071141,3066,1073
2017,206071142,3065,1402
2017,206071143,3068,669
2017,206071518,3121,1708
2017,207011147,3103,277
2017,207011148,3104,183
2017,207011149,3124,496
2017,207011152,3123,199
2017,207011154,3102,111
2017,207011155,3126,75
2017,207011519,3122,526
2017,207011522,3101,467
2017,207021156,3105,195
2017,207021157,3108,336
2017,207021159,3106,200
2017,207021160,3107,240
2017,207021425,3109,778
2017,207031161,3130,632
2017,207031163,3128,790
2017,207031164,3129,264
2017,207031165,3125,310
2017,207031166,3151,347
2017,207031167,3127,302
2017,208011168,3193,349
2017,208011169,3186,492
2017,208011170,3187,273
2017,208011171,3190,382
2017,208011172,3188,651
2017,208011173,3191,254
2017,208021176,3163,754
2017,208021177,3161,251
2017,208021178,3162,478
2017,208021179,3185,557
2017,208021182,3204,709
2017,208021426,3165,646
2017,208031185,3197,604
2017,208031186,3196,811
2017,208031188,3192,600
2017,208031190,3194,593
2017,208031191,3189,480
2017,208031191,3202,118
2017,208031193,3195,1166
2017,208041194,3144,210
2017,208041194,3146,512
2017,208041195,3145,736
2017,209011197,3088,707
2017,209011199,3081,1113
2017,209011200,3079,442
2017,209011201,3084,714
2017,209011202,3093,143
2017,209011202,3094,83
2017,209011204,3087,432
2017,209021205,3085,240
2017,209021428,3072,1468
2017,209021524,3073,1690
2017,209031209,3095,497
2017,209031210,3099,136
2017,209031214,3113,137
2017,209031215,3089,287
2017,209041216,3083,1137
2017,209041221,3082,549
2017,209041223,3074,591
2017,209041431,3076,1033
2017,209041436,3752,425
2017,209041530,3075,528
2017,210011226,3042,745
2017,210011228,3036,148
2017,210011533,3033,261
2017,210011533,3034,325
2017,210031236,3058,1127
2017,210031237,3060,423
2017,210031535,3046,1415
2017,210051242,3047,2087
2017,210051243,3061,355
2017,210051245,3049,269
2017,210051247,3048,1241
2017,210051250,3043,632
2017,210051544,3064,2333
2017,211011251,3153,925
2017,211011254,3179,213
2017,211011254,3180,187
2017,211011256,3178,648
2017,211011260,3152,990
2017,211011446,3155,1066
2017,211011447,3156,1056
2017,211011449,3154,194
2017,211021261,3111,168
2017,211021261,3114,62
2017,211031266,3134,1199
2017,211031267,3135,441
2017,211031450,3136,1592
2017,211041269,3131,752
2017,211041270,3132,426
2017,211041272,3133,416
2017,211051277,3137,464
2017,211051278,3140,804
2017,211051280,3765,184
2017,211051281,3138,678
2017,211051283,3796,260
2017,211051284,3158,124
2017,212021293,3806,916
2017,212021295,3177,1163
2017,212021297,3803,832
2017,212021299,3804,221
2017,212021454,3802,628
2017,212021456,3805,1634
2017,212031300,3977,3386
2017,212031306,3975,622
2017,212031562,3976,868
2017,212041309,3167,388
2017,212041310,3169,781
2017,212041317,3171,1069
2017,212041318,3172,794
2017,212041460,3174,1290
2017,212041563,3175,4791
2017,212041565,3173,379
2017,212051319,3147,666
2017,212051319,3148,215
2017,212051322,3150,806
2017,212051324,3149,580
2017,212051325,3170,525
2017,212051326,3166,935
2017,212051567,3168,975
2017,213011328,3020,2851
2017,213011328,3022,189
2017,213011331,3037,939
2017,213011332,3038,728
2017,213011334,3021,2679
2017,213011569,3023,2214
2017,213011570,3026,518
2017,213021341,3018,408
2017,213021343,3025,447
2017,213021344,3015,455
2017,213021346,3016,607
2017,213031347,3019,505
2017,213031348,3011,1760
2017,213031349,3032,1129
2017,213031351,3012,853
2017,213031352,3013,373
2017,213051361,3029,2269
2017,213051363,3027,101
2017,213051363,3028,761
2017,213051368,3030,2235
2017,214011370,3201,872
2017,214011371,3199,3501
2017,214011372,3200,575
2017,214011374,3910,590
2017,214011375,3198,1046
2018,206011106,3057,232
2018,206011107,3052,785
2018,206011107,3055,293
2018,206011109,3044,557
2018,206011495,3056,1146
2018,206021110,3078,395
2018,206021112,3071,500
2018,206021500,3070,513
2018,206031115,3031,1181
2018,206031116,3039,671
2018,206031501,3041,402
2018,206031502,3040,543
2018,206041117,3053,1061
2018,206041118,3008,1371
2018,206041119,3002,452
2018,206041504,3000,1506
2018,206041506,3051,1179
2018,206041509,3006,1039
2018,206041510,3003,591
2018,206051128,3206,315
2018,206051129,3184,352
2018,206051130,3207,676
2018,206051134,3183,698
2018,206051511,3205,1290
2018,206051514,3004,1878
2018,206051514,3182,2049
2018,206061135,3143,409
2018,206061136,3181,1559
2018,206061138,3142,272
2018,206061515,3141,979
2018,206071139,3067,381
2018,206071140,3054,236
2018,206071141,3066,1062
2018,206071142,3065,1402
2018,206071143,3068,606
2018,206071518,3121,2312
2018,207011147,3103,371
2018,207011148,3104,206
2018,207011149,3124,761
2018,207011152,3123,186
2018,207011154,3102,101
2018,207011155,3126,95
2018,207011519,3122,575
2018,207011522,3101,474
2018,207021156,3105,256
2018,207021157,3108,473
2018,207021159,3106,288
2018,207021160,3107,180
2018,207021425,3109,545
2018,207031161,3130,649
2018,207031163,3128,781
2018,207031164,3129,201
2018,207031165,3125,304
2018,207031166,3151,356
2018,207031167,3127,284
2018,208011168,3193,267
2018,208011169,3186,541
2018,208011170,3187,196
2018,208011171,3190,649
2018,208011172,3188,661
2018,208011173,3191,493
2018,208021176,3163,755
2018,208021177,3161,227
2018,208021178,3162,489
2018,208021179,3185,486
2018,208021182,3204,742
2018,208021426,3165,436
2018,208031185,3197,515
2018,208031186,3196,679
2018,208031188,3192,627
2018,208031190,3194,518
2018,208031191,3189,552
2018,208031191,3202,118
2018,208031193,3195,1241
2018,208041194,3144,257
2018,208041194,3146,327
2018,208041195,3145,720
2018,209011197,3088,512
2018,209011199,3081,1077
2018,209011200,3079,353
2018,209011201,3084,625
2018,209011202,3093,119
2018,209011202,3094,101
2018,209011204,3087,315
2018,209021205,3085,275
2018,209021428,3072,1611
2018,209021524,3073,1467
2018,209031209,3095,478
2018,209031210,3099,124
2018,209031214,3113,131
2018,209031215,3089,258
2018,209041216,3083,1000
2018,209041221,3082,788
2018,209041223,3074,922
2018,209041431,3076,1442
2018,209041436,3752,636
2018,209041530,3075,657
2018,210011226,3042,636
2018,210011228,3036,195
2018,210011533,3033,320
2018,210011533,3034,285
2018,210031236,3058,1391
2018,210031237,3060,302
2018,210031535,3046,1331
2018,210051242,3047,2001
2018,210051243,3061,426
2018,210051245,3049,270
2018,210051247,3048,712
2018,210051250,3043,714
2018,210051544,3064,2171
2018,211011251,3153,906
2018,211011254,3179,294
2018,211011254,3180,392
2018,211011256,3178,629
2018,211011260,3152,852
2018,211011446,3155,1176
2018,211011447,3156,984
2018,211011449,3154,155
2018,211021261,3111,242
2018,211021261,3114,32
2018,211031266,3134,1408
2018,211031267,3135,468
2018,211031450,3136,1574
2018,211041269,3131,688
2018,211041270,3132,566
2018,211041272,3133,490
2018,211051277,3137,360
2018,211051278,3140,505
2018,211051280,3765,176
2018,211051281,3138,428
2018,211051283,3796,111
2018,211051284,3158,124
2018,212021293,3806,855
2018,212021295,3177,724
2018,212021297,3803,592
2018,212021299,3804,140
2018,212021454,3802,572
2018,212021456,3805,1767
2018,212031300,3977,3188
2018,212031306,3975,344
2018,212031562,3976,695
2018,212041309,3167,356
2018,212041310,3169,522
2018,212041317,3171,1325
2018,212041318,3172,484
2018,212041460,3174,1419
2018,212041563,3175,4619
2018,212041565,3173,1172
2018,212051319,3147,391
2018,212051319,3148,505
2018,212051322,3150,806
2018,212051324,3149,375
2018,212051325,3170,471
2018,212051326,3166,975
2018,212051567,3168,895
2018,213011328,3020,2817
2018,213011328,3022,142
2018,213011331,3037,928
